,Date,Open,High,Low,Close,Volume,Week,Quarter,Month Name,Day Name,Day,Month
554,2020-10-19,215.975,217.842,209.414,209.91,28192053.382743,43,4,October,Monday,19,10
553,2020-10-20,211.479,213.008,208.809,210.337,23219862.188547,43,4,October,Tuesday,20,10
552,2020-10-21,208.837,212.561,208.837,210.486,23190669.992457,43,4,October,Wednesday,21,10
551,2020-10-22,209.622,211.706,207.447,210.576,22809560.790716,43,4,October,Thursday,22,10
550,2020-10-23,210.714,211.936,208.867,211.886,19266559.321669,43,4,October,Friday,23,10
549,2020-10-26,209.543,211.986,203.924,205.86,37872190.038774,44,4,October,Monday,26,10
548,2020-10-27,207.35,210.357,206.108,208.957,37452524.897286,44,4,October,Tuesday,27,10
547,2020-10-28,203.498,204.628,198.046,198.622,52244884.834343,44,4,October,Wednesday,28,10
546,2020-10-29,199.962,203.188,199.268,200.608,32076798.254714,44,4,October,Thursday,29,10
545,2020-10-30,199.397,200.181,195.605,198.415,37738047.56136,44,4,October,Friday,30,10
544,2020-11-02,200.181,201.154,196.101,198.275,31474296.348404,45,4,November,Monday,2,11
543,2020-11-03,199.784,203.944,199.029,202.296,28075911.131139,45,4,November,Tuesday,3,11
542,2020-11-04,209.712,213.931,208.153,212.035,43178989.011964,45,4,November,Wednesday,4,11
541,2020-11-05,217.585,219.61,216.701,218.815,36819625.071868,45,4,November,Thursday,5,11
540,2020-11-06,217.802,219.847,213.653,219.242,25749040.978603,45,4,November,Friday,6,11
539,2020-11-09,219.927,223.541,213.514,214.0,45304857.98602,46,4,November,Monday,9,11
538,2020-11-10,210.189,212.143,205.503,206.783,44947857.200871,46,4,November,Tuesday,10,11
537,2020-11-11,208.133,213.663,207.944,212.193,30044199.057309,46,4,November,Wednesday,11,11
536,2020-11-12,212.849,214.705,210.149,211.122,22059153.839268,46,4,November,Thursday,12,11
535,2020-11-13,212.016,213.057,209.851,212.153,19012148.743468,46,4,November,Friday,13,11
534,2020-11-16,210.556,213.376,210.209,212.869,25464781.452927,47,4,November,Monday,16,11
533,2020-11-17,211.756,213.316,209.771,210.149,24649168.759035,47,4,November,Tuesday,17,11
532,2020-11-18,209.9,211.409,207.25,207.38,28878705.085599,47,4,November,Wednesday,18,11
531,2020-11-19,207.677,209.285,206.257,208.7,25234825.798184,47,4,November,Thursday,19,11
530,2020-11-20,208.49,209.533,206.327,206.713,23250435.375663,47,4,November,Friday,20,11
529,2020-11-23,207.27,208.57,204.5,206.436,26141470.076126,48,4,November,Monday,23,11
528,2020-11-24,205.92,210.496,205.195,210.109,34585624.802888,48,4,November,Tuesday,24,11
527,2020-11-25,211.349,211.529,208.739,210.119,21387569.141316,48,4,November,Wednesday,25,11
526,2020-11-27,211.092,212.482,210.287,211.469,14770980.262026,48,4,November,Friday,27,11
525,2020-11-30,210.347,211.002,207.15,210.317,33654331.195019,49,4,November,Monday,30,11
524,2020-12-01,210.754,213.523,209.602,212.422,31482855.269427,49,4,December,Tuesday,1,12
523,2020-12-02,211.122,211.687,209.067,211.599,24147540.641945,49,4,December,Wednesday,2,12
522,2020-12-03,210.853,212.59,209.9,210.486,25568854.386924,49,4,December,Thursday,3,12
521,2020-12-04,210.466,211.609,209.434,210.605,25105859.77071,49,4,December,Friday,4,12
520,2020-12-07,210.615,211.756,209.245,210.536,25041786.219301,50,4,December,Monday,7,12
519,2020-12-08,210.219,213.106,209.156,212.223,23683109.633899,50,4,December,Tuesday,8,12
518,2020-12-09,211.399,211.459,207.517,208.094,32998019.995887,50,4,December,Wednesday,9,12
517,2020-12-10,208.064,209.334,206.684,206.843,26938745.102932,50,4,December,Thursday,10,12
516,2020-12-11,206.376,209.572,205.443,209.514,31531835.62646,50,4,December,Friday,11,12
515,2020-12-14,209.245,212.422,209.146,210.446,29311882.987535,51,4,December,Monday,14,12
514,2020-12-15,211.399,211.639,208.52,210.377,27499866.635632,51,4,December,Tuesday,15,12
513,2020-12-16,210.992,216.245,210.962,215.44,35647753.96364,51,4,December,Wednesday,16,12
512,2020-12-17,216.005,217.018,214.1,215.578,33095573.765842,51,4,December,Thursday,17,12
511,2020-12-18,214.755,215.848,212.233,214.755,64484605.25055,51,4,December,Friday,18,12
510,2020-12-21,213.743,220.077,213.484,218.696,37844876.43368,52,4,December,Monday,21,12
509,2020-12-22,218.795,221.674,217.972,220.017,23047151.683939,52,4,December,Tuesday,22,12
508,2020-12-23,219.212,219.639,216.929,217.148,19033072.117307,52,4,December,Wednesday,23,12
507,2020-12-24,217.545,219.689,217.326,218.855,10738699.012107,52,4,December,Thursday,24,12
506,2020-12-28,220.504,222.071,219.123,221.01,18253267.483138,53,4,December,Monday,28,12
505,2020-12-29,222.35,223.214,219.659,220.205,17713529.654618,53,4,December,Tuesday,29,12
504,2020-12-30,221.277,221.674,217.595,217.802,20633812.959269,53,4,December,Wednesday,30,12
503,2020-12-31,217.822,219.104,215.838,218.528,21315552.121483,53,4,December,Thursday,31,12
502,2021-01-04,218.637,219.104,211.052,213.881,37792207.390195,1,1,January,Monday,4,1
501,2021-01-05,213.464,214.686,211.916,214.08,24247740.555895,1,1,January,Tuesday,5,1
